District,Crop,Avg Rainfall (mm),Typical Soil,Status,Reason
Gadag,muskmelon,24.7,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 24.7mm)"
Gadag,apple,112.7,silty soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 112.7mm)"
Gadag,orange,110.5,laterite soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 110.5mm)"
Gadag,papaya,142.6,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 142.6mm)"
Gadag,coconut,175.7,alluvial soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Gadag,cotton,80.4,black soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 80.4mm)"
Gadag,jute,174.8,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 174.8mm)"
Gadag,coffee,158.1,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Raichur,rice,236.2,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 236.2mm)"
Raichur,maize,84.8,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 84.8mm)"
Raichur,chickpea,80.1,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 80.1mm)"
Raichur,kidneybeans,105.9,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 105.9mm)"
Raichur,pigeonpeas,149.5,black soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 149.5mm)"
Raichur,mothbeans,51.2,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 51.2mm)"
Raichur,mungbean,48.4,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 48.4mm)"
Raichur,blackgram,67.9,clay loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 67.9mm)"
Raichur,lentil,45.7,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 45.7mm)"
Raichur,pomegranate,107.5,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 107.5mm)"
Raichur,banana,104.6,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 104.6mm)"
Raichur,mango,94.7,red soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 94.7mm)"
Raichur,grapes,69.6,black soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 69.6mm)"
Raichur,watermelon,50.8,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 50.8mm)"
Raichur,muskmelon,24.7,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 24.7mm)"
Raichur,apple,112.7,silty soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 112.7mm)"
Raichur,orange,110.5,laterite soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 110.5mm)"
Raichur,papaya,142.6,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 142.6mm)"
Raichur,coconut,175.7,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 175.7mm)"
Raichur,cotton,80.4,black soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 80.4mm)"
Raichur,jute,174.8,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 174.8mm)"
Raichur,coffee,158.1,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Koppal,rice,236.2,alluvial soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Koppal,maize,84.8,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 84.8mm)"
Koppal,chickpea,80.1,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 80.1mm)"
Koppal,kidneybeans,105.9,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 105.9mm)"
Koppal,pigeonpeas,149.5,black soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 149.5mm)"
Koppal,mothbeans,51.2,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 51.2mm)"
Koppal,mungbean,48.4,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 48.4mm)"
Koppal,blackgram,67.9,clay loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 67.9mm)"
Koppal,lentil,45.7,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 45.7mm)"
Koppal,pomegranate,107.5,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 107.5mm)"
Koppal,banana,104.6,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 104.6mm)"
Koppal,mango,94.7,red soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 94.7mm)"
Koppal,grapes,69.6,black soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 69.6mm)"
Koppal,watermelon,50.8,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 50.8mm)"
Koppal,muskmelon,24.7,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 24.7mm)"
Koppal,apple,112.7,silty soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 112.7mm)"
Koppal,orange,110.5,laterite soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 110.5mm)"
Koppal,papaya,142.6,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 142.6mm)"
Koppal,coconut,175.7,alluvial soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Koppal,cotton,80.4,black soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 80.4mm)"
Koppal,jute,174.8,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 174.8mm)"
Koppal,coffee,158.1,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Kalaburagi (Gulbarga),rice,236.2,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 236.2mm)"
Kalaburagi (Gulbarga),maize,84.8,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 84.8mm)"
Kalaburagi (Gulbarga),chickpea,80.1,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 80.1mm)"
Kalaburagi (Gulbarga),kidneybeans,105.9,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 105.9mm)"
Kalaburagi (Gulbarga),pigeonpeas,149.5,black soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 149.5mm)"
Kalaburagi (Gulbarga),mothbeans,51.2,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 51.2mm)"
Kalaburagi (Gulbarga),mungbean,48.4,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 48.4mm)"
Kalaburagi (Gulbarga),blackgram,67.9,clay loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 67.9mm)"
Kalaburagi (Gulbarga),lentil,45.7,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 45.7mm)"
Kalaburagi (Gulbarga),pomegranate,107.5,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 107.5mm)"
Kalaburagi (Gulbarga),banana,104.6,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 104.6mm)"
Kalaburagi (Gulbarga),mango,94.7,red soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 94.7mm)"
Kalaburagi (Gulbarga),grapes,69.6,black soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 69.6mm)"
Kalaburagi (Gulbarga),watermelon,50.8,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 50.8mm)"
Kalaburagi (Gulbarga),muskmelon,24.7,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 24.7mm)"
Kalaburagi (Gulbarga),apple,112.7,silty soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 112.7mm)"
Kalaburagi (Gulbarga),orange,110.5,laterite soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 110.5mm)"
Kalaburagi (Gulbarga),papaya,142.6,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 142.6mm)"
Kalaburagi (Gulbarga),coconut,175.7,alluvial soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Kalaburagi (Gulbarga),cotton,80.4,black soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 80.4mm)"
Kalaburagi (Gulbarga),jute,174.8,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 700)mm, Avg 174.8mm)"
Kalaburagi (Gulbarga),coffee,158.1,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Bidar,rice,236.2,alluvial soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 236.2mm)"
Bidar,maize,84.8,loamy soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 84.8mm)"
Bidar,chickpea,80.1,sandy loam,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 80.1mm)"
Bidar,kidneybeans,105.9,loamy soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 105.9mm)"
Bidar,pigeonpeas,149.5,black soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 149.5mm)"
Bidar,mothbeans,51.2,sandy soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 51.2mm)"
Bidar,mungbean,48.4,loamy soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 48.4mm)"
Bidar,blackgram,67.9,clay loam,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 67.9mm)"
Bidar,lentil,45.7,sandy loam,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 45.7mm)"
Bidar,pomegranate,107.5,sandy loam,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 107.5mm)"
Bidar,banana,104.6,alluvial soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 104.6mm)"
Bidar,mango,94.7,red soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 94.7mm)"
Bidar,grapes,69.6,black soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 69.6mm)"
Bidar,watermelon,50.8,sandy loam,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 50.8mm)"
Bidar,muskmelon,24.7,sandy soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 24.7mm)"
Bidar,apple,112.7,silty soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 112.7mm)"
Bidar,orange,110.5,laterite soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 110.5mm)"
Bidar,papaya,142.6,sandy loam,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 142.6mm)"
Bidar,coconut,175.7,alluvial soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 175.7mm)"
Bidar,cotton,80.4,black soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 80.4mm)"
Bidar,jute,174.8,alluvial soil,Warning,"Rainfall Mismatch (Needs (600, 900)mm, Avg 174.8mm)"
Bidar,coffee,158.1,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Ballari (Bellary),rice,236.2,alluvial soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Ballari (Bellary),maize,84.8,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 84.8mm)"
Ballari (Bellary),chickpea,80.1,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 80.1mm)"
Ballari (Bellary),kidneybeans,105.9,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 105.9mm)"
Ballari (Bellary),pigeonpeas,149.5,black soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 149.5mm)"
Ballari (Bellary),mothbeans,51.2,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 51.2mm)"
Ballari (Bellary),mungbean,48.4,loamy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 48.4mm)"
Ballari (Bellary),blackgram,67.9,clay loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 67.9mm)"
Ballari (Bellary),lentil,45.7,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 45.7mm)"
Ballari (Bellary),pomegranate,107.5,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 107.5mm)"
Ballari (Bellary),banana,104.6,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 104.6mm)"
Ballari (Bellary),mango,94.7,red soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 94.7mm)"
Ballari (Bellary),grapes,69.6,black soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 69.6mm)"
Ballari (Bellary),watermelon,50.8,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 50.8mm)"
Ballari (Bellary),muskmelon,24.7,sandy soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 24.7mm)"
Ballari (Bellary),apple,112.7,silty soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 112.7mm)"
Ballari (Bellary),orange,110.5,laterite soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 110.5mm)"
Ballari (Bellary),papaya,142.6,sandy loam,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 142.6mm)"
Ballari (Bellary),coconut,175.7,alluvial soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
Ballari (Bellary),cotton,80.4,black soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 80.4mm)"
Ballari (Bellary),jute,174.8,alluvial soil,Warning,"Rainfall Mismatch (Needs (400, 600)mm, Avg 174.8mm)"
Ballari (Bellary),coffee,158.1,red soil,Blocked,Explicitly Unsuitable (Crop not grown in region)
